0:0:0:0:0:0:0:1 - - [01/Mar/2019:23:48:43 +0530] "GET /LMS/images/templatemo_smb.png HTTP/1.1" 200 183
0:0:0:0:0:0:0:1 - - [01/Mar/2019:23:50:37 +0530] "GET /LMS/HomePage.jsp HTTP/1.1" 200 24707
0:0:0:0:0:0:0:1 - - [01/Mar/2019:23:50:37 +0530] "GET /LMS/02.jpg HTTP/1.1" 200 18815
0:0:0:0:0:0:0:1 - - [01/Mar/2019:23:50:40 +0530] "GET /LMS/03.jpg HTTP/1.1" 200 18286
0:0:0:0:0:0:0:1 - - [01/Mar/2019:23:51:38 +0530] "GET /LMS/HomePage.jsp HTTP/1.1" 200 24707
0:0:0:0:0:0:0:1 - - [01/Mar/2019:23:53:39 +0530] "GET /LMS/HomePage.jsp HTTP/1.1" 200 24056
0:0:0:0:0:0:0:1 - - [01/Mar/2019:23:55:48 +0530] "GET /LMS/HomePage.jsp HTTP/1.1" 200 24766
0:0:0:0:0:0:0:1 - - [01/Mar/2019:23:55:48 +0530] "GET /LMS/style1.css HTTP/1.1" 200 1480
0:0:0:0:0:0:0:1 - - [01/Mar/2019:23:57:22 +0530] "GET /LMS/HomePage.jsp HTTP/1.1" 200 9955
0:0:0:0:0:0:0:1 - - [01/Mar/2019:23:58:05 +0530] "GET /LMS/HomePage.jsp HTTP/1.1" 200 9935
0:0:0:0:0:0:0:1 - - [01/Mar/2019:23:58:09 +0530] "GET /LMS/HomePage.jsp HTTP/1.1" 200 9935
0:0:0:0:0:0:0:1 - - [01/Mar/2019:23:58:42 +0530] "GET /LMS/HomePage.jsp HTTP/1.1" 200 24056
